Wavelength (nm),Cyan
380,9.5
385,11.4
390,13.3
395,16.1
400,18.9
405,21.2
410,23.5
415,24.5
420,25.6
425,26.7
430,27.9
435,29.4
440,31.0
445,32.8
450,34.6
455,36.6
460,38.5
465,40.7
470,42.8
475,44.0
480,45.3
485,45.3
490,45.3
495,44.2
500,43.1
505,41.2
510,39.3
515,36.7
520,34.1
525,31.3
530,28.5
535,25.9
540,23.3
545,20.8
550,18.4
555,16.3
560,14.2
565,12.8
570,11.4
575,10.6
580,9.8
585,9.3
590,8.8
595,8.4
600,8.0
605,7.7
610,7.4
615,7.3
620,7.2
625,7.1
630,7.1
635,7.1
640,7.1
645,7.1
650,7.1
655,7.2
660,7.3
665,7.4
670,7.5
675,7.4
680,7.4
685,7.3
690,7.2
695,7.1
700,7.0
705,7.0
710,6.9
715,7.0
720,7.0
725,7.3
730,7.6
735,7.9
740,8.1
745,8.4
750,8.7
755,9.0
760,9.3
765,9.5
770,9.8
775,10.1
780,10.4
