Wavelength (nm),Yellow
380,6.5
385,6.4
390,6.3
395,6.1
400,6.0
405,6.0
410,6.0
415,6.0
420,6.0
425,6.1
430,6.1
435,6.2
440,6.2
445,6.4
450,6.6
455,7.0
460,7.3
465,7.9
470,8.6
475,9.6
480,10.7
485,12.4
490,14.1
495,16.9
500,19.8
505,24.6
510,29.4
515,36.3
520,43.1
525,49.2
530,55.3
535,58.7
540,62.2
545,64.0
550,65.8
555,67.0
560,68.1
565,69.3
570,70.4
575,71.1
580,71.9
585,72.4
590,72.9
595,73.1
600,73.2
605,73.2
610,73.2
615,73.2
620,73.1
625,73.1
630,73.0
635,73.0
640,73.1
645,73.0
650,72.9
655,72.9
660,72.9
665,72.9
670,72.9
675,73.1
680,73.2
685,73.5
690,73.8
695,74.1
700,74.4
705,74.7
710,75.0
715,75.0
720,75.0
725,75.0
730,75.0
735,75.1
740,75.1
745,75.2
750,75.2
755,75.2
760,75.3
765,75.3
770,75.4
775,75.4
780,75.4
