Wavelength (nm),Reflectance
360,2.84
361,2.69
362,2.55
363,2.38
364,2.69
365,2.75
366,2.42
367,2.45
368,2.70
369,2.87
370,2.76
371,2.55
372,2.62
373,2.74
374,2.54
375,2.78
376,2.62
377,2.18
378,2.50
379,2.41
380,2.40
381,2.73
382,2.80
383,2.62
384,2.37
385,2.22
386,2.16
387,2.21
388,2.31
389,2.36
390,2.39
391,2.39
392,2.33
393,2.09
394,2.17
395,2.28
396,2.16
397,2.15
398,2.04
399,1.98
400,2.19
401,2.12
402,2.03
403,2.06
404,2.07
405,2.07
406,2.07
407,2.05
408,1.99
409,1.96
410,1.97
411,2.03
412,2.11
413,2.10
414,2.01
415,1.97
416,1.92
417,1.89
418,1.90
419,1.93
420,1.97
421,2.00
422,1.97
423,1.93
424,1.91
425,1.91
426,1.90
427,1.88
428,1.89
429,1.94
430,1.94
431,1.90
432,1.86
433,1.87
434,1.91
435,1.90
436,1.87
437,1.93
438,1.94
439,1.92
440,1.91
441,1.93
442,1.95
443,1.97
444,1.96
445,1.98
446,2.02
447,2.04
448,2.02
449,1.98
450,1.98
451,2.04
452,2.05
453,2.04
454,2.05
455,2.08
456,2.07
457,2.06
458,2.08
459,2.11
460,2.12
461,2.13
462,2.15
463,2.11
464,2.13
465,2.18
466,2.18
467,2.19
468,2.19
469,2.17
470,2.23
471,2.22
472,2.21
473,2.26
474,2.27
475,2.26
476,2.26
477,2.28
478,2.28
479,2.29
480,2.32
481,2.32
482,2.32
483,2.34
484,2.39
485,2.37
486,2.38
487,2.40
488,2.41
489,2.42
490,2.44
491,2.44
492,2.46
493,2.46
494,2.47
495,2.51
496,2.53
497,2.56
498,2.59
499,2.60
500,2.62
501,2.64
502,2.68
503,2.70
504,2.75
505,2.80
506,2.84
507,2.86
508,2.88
509,2.91
510,2.97
511,3.03
512,3.09
513,3.15
514,3.18
515,3.23
516,3.30
517,3.36
518,3.43
519,3.49
520,3.56
521,3.61
522,3.67
523,3.74
524,3.80
525,3.85
526,3.91
527,3.97
528,4.04
529,4.09
530,4.13
531,4.18
532,4.22
533,4.26
534,4.30
535,4.35
536,4.39
537,4.43
538,4.46
539,4.50
540,4.53
541,4.56
542,4.59
543,4.62
544,4.66
545,4.70
546,4.72
547,4.76
548,4.80
549,4.83
550,4.84
551,4.88
552,4.92
553,4.95
554,4.97
555,4.99
556,5.02
557,5.04
558,5.05
559,5.07
560,5.09
561,5.09
562,5.10
563,5.11
564,5.11
565,5.12
566,5.11
567,5.10
568,5.10
569,5.09
570,5.08
571,5.08
572,5.07
573,5.06
574,5.05
575,5.04
576,5.03
577,5.03
578,5.03
579,5.03
580,5.02
581,5.02
582,5.02
583,5.02
584,5.02
585,5.02
586,5.03
587,5.03
588,5.03
589,5.04
590,5.05
591,5.05
592,5.06
593,5.06
594,5.07
595,5.08
596,5.09
597,5.10
598,5.11
599,5.12
600,5.13
601,5.14
602,5.15
603,5.15
604,5.16
605,5.17
606,5.17
607,5.17
608,5.17
609,5.17
610,5.18
611,5.18
612,5.18
613,5.17
614,5.17
615,5.16
616,5.16
617,5.16
618,5.16
619,5.16
620,5.16
621,5.16
622,5.17
623,5.18
624,5.19
625,5.20
626,5.21
627,5.22
628,5.24
629,5.25
630,5.26
631,5.27
632,5.28
633,5.29
634,5.29
635,5.29
636,5.28
637,5.27
638,5.25
639,5.22
640,5.18
641,5.15
642,5.12
643,5.08
644,5.05
645,5.01
646,4.98
647,4.96
648,4.94
649,4.92
650,4.91
651,4.90
652,4.90
653,4.90
654,4.90
655,4.90
656,4.89
657,4.88
658,4.87
659,4.86
660,4.83
661,4.80
662,4.78
663,4.74
664,4.71
665,4.69
666,4.66
667,4.63
668,4.61
669,4.60
670,4.58
671,4.57
672,4.56
673,4.56
674,4.56
675,4.57
676,4.58
677,4.58
678,4.59
679,4.61
680,4.63
681,4.67
682,4.71
683,4.77
684,4.84
685,4.93
686,5.03
687,5.16
688,5.30
689,5.48
690,5.67
691,5.88
692,6.11
693,6.35
694,6.62
695,6.90
696,7.20
697,7.50
698,7.81
699,8.14
700,8.47
701,8.80
702,9.13
703,9.46
704,9.79
705,10.12
706,10.45
707,10.77
708,11.09
709,11.39
710,11.69
711,11.99
712,12.29
713,12.56
714,12.84
715,13.11
716,13.36
717,13.61
718,13.84
719,14.08
720,14.30
721,14.51
722,14.70
723,14.90
724,15.08
725,15.25
726,15.42
727,15.58
728,15.73
729,15.87
730,16.01
731,16.15
732,16.28
733,16.40
734,16.52
735,16.63
736,16.74
737,16.85
738,16.95
739,17.05
740,17.14
741,17.23
742,17.32
743,17.41
744,17.50
745,17.58
746,17.67
747,17.74
748,17.82
749,17.91
750,17.98
751,18.06
752,18.14
753,18.21
754,18.29
755,18.36
756,18.43
757,18.49
758,18.56
759,18.63
760,18.70
761,18.77
762,18.84
763,18.90
764,18.97
765,19.04
766,19.11
767,19.17
768,19.24
769,19.31
770,19.38
771,19.44
772,19.50
773,19.56
774,19.63
775,19.70
776,19.76
777,19.83
778,19.89
779,19.95
780,20.02
781,20.08
782,20.15
783,20.21
784,20.27
785,20.33
786,20.39
787,20.46
788,20.53
789,20.59
790,20.65
791,20.71
792,20.78
793,20.83
794,20.89
795,20.95
796,21.02
797,21.08
798,21.15
799,21.20
800,21.27
801,21.33
802,21.39
803,21.46
804,21.52
805,21.58
806,21.65
807,21.71
808,21.78
809,21.85
810,21.91
811,21.96
812,22.02
813,22.09
814,22.15
815,22.21
816,22.27
817,22.34
818,22.40
819,22.46
820,22.53
821,22.59
822,22.65
823,22.71
824,22.78
825,22.84
826,22.91
827,22.97
828,23.02
829,23.08
830,23.14
